region,event,phase,source_file,match_id,match_label,game,map,map_mode,map_winner,map_score,team_1,team_2,match_winner,match_loser,ban_stage,ban_team,banned_hero,received_team,ban_note
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_22_match_3,2026-03-22 Match 3,4,Numbani,Hybrid,Team Falcons,score 2:3,ZETA DIVISION,Team Falcons,ZETA DIVISION,Team Falcons,initial,Team Falcons,Illari,ZETA DIVISION,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_22_match_3,2026-03-22 Match 3,4,Numbani,Hybrid,Team Falcons,score 2:3,ZETA DIVISION,Team Falcons,ZETA DIVISION,Team Falcons,follow_up,ZETA DIVISION,Sojourn,Team Falcons,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_22_match_3,2026-03-22 Match 3,5,Blizzard World,Hybrid,ZETA DIVISION,score 3:0,ZETA DIVISION,Team Falcons,ZETA DIVISION,Team Falcons,initial,ZETA DIVISION,Kiriko,Team Falcons,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_22_match_3,2026-03-22 Match 3,5,Blizzard World,Hybrid,ZETA DIVISION,score 3:0,ZETA DIVISION,Team Falcons,ZETA DIVISION,Team Falcons,follow_up,Team Falcons,Vendetta,ZETA DIVISION,
Korea,OWCS Korea 2026 Stage 1,Week 2,OWCS_KOREA_2026_WEEK2_RESULTS.md,korea_2026_04_03_match_1,2026-04-03 Match 1,1,Oasis,Control,ZAN Esports,score 0:2,Cheeseburger,ZAN Esports,ZAN Esports,Cheeseburger,initial,ZAN Esports,Orisa,Cheeseburger,
Korea,OWCS Korea 2026 Stage 1,Week 2,OWCS_KOREA_2026_WEEK2_RESULTS.md,korea_2026_04_03_match_1,2026-04-03 Match 1,1,Oasis,Control,ZAN Esports,score 0:2,Cheeseburger,ZAN Esports,ZAN Esports,Cheeseburger,follow_up,Cheeseburger,Vendetta,ZAN Esports,
Korea,OWCS Korea 2026 Stage 1,Week 2,OWCS_KOREA_2026_WEEK2_RESULTS.md,korea_2026_04_03_match_1,2026-04-03 Match 1,2,Watchpoint: Gibraltar,Escort,ZAN Esports,score 1:2,Cheeseburger,ZAN Esports,ZAN Esports,Cheeseburger,initial,ZAN Esports,Hazard,Cheeseburger,
Korea,OWCS Korea 2026 Stage 1,Week 2,OWCS_KOREA_2026_WEEK2_RESULTS.md,korea_2026_04_03_match_1,2026-04-03 Match 1,2,Watchpoint: Gibraltar,Escort,ZAN Esports,score 1:2,Cheeseburger,ZAN Esports,ZAN Esports,Cheeseburger,follow_up,Cheeseburger,Ana,ZAN Esports,
Korea,OWCS Korea 2026 Stage 1,Week 2,OWCS_KOREA_2026_WEEK2_RESULTS.md,korea_2026_04_03_match_1,2026-04-03 Match 1,3,Aatlis,Flashpoint,ZAN Esports,score 0:3,Cheeseburger,ZAN Esports,ZAN Esports,Cheeseburger,initial,Cheeseburger,Mauga,ZAN Esports,
Korea,OWCS Korea 2026 Stage 1,Week 2,OWCS_KOREA_2026_WEEK2_RESULTS.md,korea_2026_04_03_match_1,2026-04-03 Match 1,3,Aatlis,Flashpoint,ZAN Esports,score 0:3,Cheeseburger,ZAN Esports,ZAN Esports,Cheeseburger,follow_up,ZAN Esports,Emre,Cheeseburger,
Korea,OWCS Korea 2026 Stage 1,Week 2,OWCS_KOREA_2026_WEEK2_RESULTS.md,korea_2026_04_03_match_2,2026-04-03 Match 2,1,Lijiang Tower,Control,ZETA DIVISION,score 0:2,Poker Face,ZETA DIVISION,ZETA DIVISION,Poker Face,initial,ZETA DIVISION,Hazard,Poker Face,
Korea,OWCS Korea 2026 Stage 1,Week 2,OWCS_KOREA_2026_WEEK2_RESULTS.md,korea_2026_04_03_match_2,2026-04-03 Match 2,1,Lijiang Tower,Control,ZETA DIVISION,score 0:2,Poker Face,ZETA DIVISION,ZETA DIVISION,Poker Face,follow_up,Poker Face,Emre,ZETA DIVISION,
Korea,OWCS Korea 2026 Stage 1,Week 2,OWCS_KOREA_2026_WEEK2_RESULTS.md,korea_2026_04_03_match_2,2026-04-03 Match 2,2,Esperanca,Push,ZETA DIVISION,distance 21.99m : 142.41m,Poker Face,ZETA DIVISION,ZETA DIVISION,Poker Face,initial,Poker Face,Ana,ZETA DIVISION,
Korea,OWCS Korea 2026 Stage 1,Week 2,OWCS_KOREA_2026_WEEK2_RESULTS.md,korea_2026_04_03_match_2,2026-04-03 Match 2,2,Esperanca,Push,ZETA DIVISION,distance 21.99m : 142.41m,Poker Face,ZETA DIVISION,ZETA DIVISION,Poker Face,follow_up,ZETA DIVISION,D.Va,Poker Face,
Korea,OWCS Korea 2026 Stage 1,Week 2,OWCS_KOREA_2026_WEEK2_RESULTS.md,korea_2026_04_03_match_2,2026-04-03 Match 2,3,Rialto,Escort,ZETA DIVISION,score 0:3,Poker Face,ZETA DIVISION,ZETA DIVISION,Poker Face,initial,Poker Face,Illari,ZETA DIVISION,
Korea,OWCS Korea 2026 Stage 1,Week 2,OWCS_KOREA_2026_WEEK2_RESULTS.md,korea_2026_04_03_match_2,2026-04-03 Match 2,3,Rialto,Escort,ZETA DIVISION,score 0:3,Poker Face,ZETA DIVISION,ZETA DIVISION,Poker Face,follow_up,ZETA DIVISION,Zarya,Poker Face,
Korea,OWCS Korea 2026 Stage 1,Week 2,OWCS_KOREA_2026_WEEK2_RESULTS.md,korea_2026_04_03_match_3,2026-04-03 Match 3,1,Busan,Control,ONSIDE GAMING,score 0:2,Crazy Raccoon,ONSIDE GAMING,Crazy Raccoon,ONSIDE GAMING,initial,Crazy Raccoon,Zarya,ONSIDE GAMING,
